[2024-12-11 17:37:28,070] INFO day_10:400 > Begin 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 2) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 17) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 21) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 26) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 28) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 35) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 45) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(0, 52) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(1, 14) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(1, 38) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 6) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 19) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 21) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 31) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 35) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 44) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(2, 52) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(3, 10) 
[2024-12-11 17:37:28,070] INFO day_10:191 > Find all trails starting from C(3, 14) 
[2024-12-11 17:37:28,083] INFO day_10:191 > Find all trails starting from C(3, 15) 
[2024-12-11 17:37:28,083] INFO day_10:191 > Find all trails starting from C(3, 30) 
[2024-12-11 17:37:28,085] INFO day_10:191 > Find all trails starting from C(3, 35) 
[2024-12-11 17:37:28,085] INFO day_10:191 > Find all trails starting from C(3, 38) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(3, 49) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(4, 0) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(4, 17) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(4, 19) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(4, 40) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(5, 3) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(5, 12) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(5, 32) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(5, 35) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(5, 47) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(6, 3) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(6, 16) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(6, 24) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(6, 33) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(6, 50) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(7, 6) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(7, 7) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(7, 30) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(7, 34) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(7, 45) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(7, 48) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(8, 7) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(8, 23) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(8, 41) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(8, 43) 
[2024-12-11 17:37:28,086] INFO day_10:191 > Find all trails starting from C(9, 9) 
[2024-12-11 17:37:28,099] INFO day_10:191 > Find all trails starting from C(9, 19) 
[2024-12-11 17:37:28,099] INFO day_10:191 > Find all trails starting from C(9, 29) 
[2024-12-11 17:37:28,099] INFO day_10:191 > Find all trails starting from C(9, 41) 
[2024-12-11 17:37:28,102] INFO day_10:191 > Find all trails starting from C(9, 52) 
[2024-12-11 17:37:28,102] INFO day_10:191 > Find all trails starting from C(10, 14) 
[2024-12-11 17:37:28,102] INFO day_10:191 > Find all trails starting from C(10, 19) 
[2024-12-11 17:37:28,103] INFO day_10:191 > Find all trails starting from C(10, 22) 
[2024-12-11 17:37:28,103] INFO day_10:191 > Find all trails starting from C(10, 27) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(10, 38) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(10, 44) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(10, 53) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(11, 14) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(11, 27) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(11, 43) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(11, 48) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 3) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 6) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 17) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 18) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 25) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 48) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(12, 50) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(13, 0) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(13, 33) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(13, 38) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(13, 53) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(14, 3) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(14, 14) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(14, 16) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(14, 23) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(14, 35) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(15, 8) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(15, 12) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(15, 21) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(15, 30) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(15, 32) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(16, 1) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(16, 2) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(16, 9) 
[2024-12-11 17:37:28,104] INFO day_10:191 > Find all trails starting from C(16, 19) 
[2024-12-11 17:37:28,115] INFO day_10:191 > Find all trails starting from C(16, 22) 
[2024-12-11 17:37:28,115] INFO day_10:191 > Find all trails starting from C(16, 30) 
[2024-12-11 17:37:28,115] INFO day_10:191 > Find all trails starting from C(16, 35) 
[2024-12-11 17:37:28,116] INFO day_10:191 > Find all trails starting from C(16, 37) 
[2024-12-11 17:37:28,116] INFO day_10:191 > Find all trails starting from C(16, 41) 
[2024-12-11 17:37:28,116] INFO day_10:191 > Find all trails starting from C(16, 46) 
[2024-12-11 17:37:28,116] INFO day_10:191 > Find all trails starting from C(16, 47) 
[2024-12-11 17:37:28,118] INFO day_10:191 > Find all trails starting from C(16, 48) 
[2024-12-11 17:37:28,119] INFO day_10:191 > Find all trails starting from C(16, 52) 
[2024-12-11 17:37:28,119] INFO day_10:191 > Find all trails starting from C(17, 5) 
[2024-12-11 17:37:28,119] INFO day_10:191 > Find all trails starting from C(17, 7) 
[2024-12-11 17:37:28,121] INFO day_10:191 > Find all trails starting from C(17, 38) 
[2024-12-11 17:37:28,121] INFO day_10:191 > Find all trails starting from C(17, 41) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(18, 10) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(18, 32) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(18, 39) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(19, 9) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(19, 24) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(19, 26) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(19, 46) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(20, 15) 
[2024-12-11 17:37:28,122] INFO day_10:191 > Find all trails starting from C(20, 24) 
[2024-12-11 17:37:28,131] INFO day_10:191 > Find all trails starting from C(20, 27) 
[2024-12-11 17:37:28,131] INFO day_10:191 > Find all trails starting from C(21, 12) 
[2024-12-11 17:37:28,131] INFO day_10:191 > Find all trails starting from C(21, 20) 
[2024-12-11 17:37:28,131] INFO day_10:191 > Find all trails starting from C(21, 23) 
[2024-12-11 17:37:28,131] INFO day_10:191 > Find all trails starting from C(21, 50) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(22, 1) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(22, 25) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(22, 32) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(22, 48) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 0) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 3) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 8) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 12) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 17) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 31) 
[2024-12-11 17:37:28,135] INFO day_10:191 > Find all trails starting from C(23, 33) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(23, 37) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(23, 38) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(23, 43) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(23, 44) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(24, 3) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(24, 19) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(24, 27) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(24, 32) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(24, 49) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(25, 6) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(25, 13) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(25, 25) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(25, 28) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(25, 36) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(26, 6) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(26, 38) 
[2024-12-11 17:37:28,139] INFO day_10:191 > Find all trails starting from C(26, 45) 
[2024-12-11 17:37:28,147] INFO day_10:191 > Find all trails starting from C(26, 48) 
[2024-12-11 17:37:28,149] INFO day_10:191 > Find all trails starting from C(27, 4) 
[2024-12-11 17:37:28,149] INFO day_10:191 > Find all trails starting from C(27, 14) 
[2024-12-11 17:37:28,152] INFO day_10:191 > Find all trails starting from C(27, 17) 
[2024-12-11 17:37:28,152] INFO day_10:191 > Find all trails starting from C(27, 21) 
[2024-12-11 17:37:28,152] INFO day_10:191 > Find all trails starting from C(27, 28) 
[2024-12-11 17:37:28,152] INFO day_10:191 > Find all trails starting from C(27, 30) 
[2024-12-11 17:37:28,152] INFO day_10:191 > Find all trails starting from C(27, 37) 
[2024-12-11 17:37:28,155] INFO day_10:191 > Find all trails starting from C(27, 42) 
[2024-12-11 17:37:28,155] INFO day_10:191 > Find all trails starting from C(28, 3) 
[2024-12-11 17:37:28,155] INFO day_10:191 > Find all trails starting from C(28, 12) 
[2024-12-11 17:37:28,155] INFO day_10:191 > Find all trails starting from C(28, 15) 
[2024-12-11 17:37:28,160] INFO day_10:191 > Find all trails starting from C(28, 50) 
[2024-12-11 17:37:28,160] INFO day_10:191 > Find all trails starting from C(28, 51) 
[2024-12-11 17:37:28,160] INFO day_10:191 > Find all trails starting from C(29, 0) 
[2024-12-11 17:37:28,160] INFO day_10:191 > Find all trails starting from C(29, 5) 
[2024-12-11 17:37:28,160] INFO day_10:191 > Find all trails starting from C(29, 9) 
[2024-12-11 17:37:28,160] INFO day_10:191 > Find all trails starting from C(29, 18) 
[2024-12-11 17:37:28,163] INFO day_10:191 > Find all trails starting from C(29, 22) 
[2024-12-11 17:37:28,163] INFO day_10:191 > Find all trails starting from C(29, 32) 
[2024-12-11 17:37:28,163] INFO day_10:191 > Find all trails starting from C(29, 40) 
[2024-12-11 17:37:28,163] INFO day_10:191 > Find all trails starting from C(30, 17) 
[2024-12-11 17:37:28,163] INFO day_10:191 > Find all trails starting from C(31, 0) 
[2024-12-11 17:37:28,168] INFO day_10:191 > Find all trails starting from C(31, 24) 
[2024-12-11 17:37:28,168] INFO day_10:191 > Find all trails starting from C(31, 27) 
[2024-12-11 17:37:28,168] INFO day_10:191 > Find all trails starting from C(31, 36) 
[2024-12-11 17:37:28,168] INFO day_10:191 > Find all trails starting from C(31, 47) 
[2024-12-11 17:37:28,168] INFO day_10:191 > Find all trails starting from C(31, 48) 
[2024-12-11 17:37:28,168] INFO day_10:191 > Find all trails starting from C(32, 8) 
