[2024-12-14 11:07:25,512] INFO day14:221 > Begin 
[2024-12-14 11:07:25,523] INFO day14:91 > Room Size:
Height=103, Width=101
ROBOT   0 | P:  77,  59 | V:   2, -23
ROBOT   1 | P:  77,  53 | V: -90,   9
ROBOT   2 | P:  85, 100 | V: -90, -77
ROBOT   3 | P:  22,  57 | V:  82, -94
ROBOT   4 | P:  84,  72 | V: -39,  60
ROBOT   5 | P:  57,  76 | V:  14, -94
ROBOT   6 | P:   2,  92 | V: -52, -63
ROBOT   7 | P:  38,  73 | V:  42, -39
ROBOT   8 | P:   4,  93 | V: -93,  41
ROBOT   9 | P:  79,  56 | V:  27, -13
ROBOT  10 | P:  20,   5 | V: -10, -68
ROBOT  11 | P:  51,  94 | V:  38,  -2
ROBOT  12 | P:  15,   5 | V: -93, -68
ROBOT  13 | P:   4,  49 | V:  56,   6
ROBOT  14 | P:  37,  78 | V:   1,  63
ROBOT  15 | P:  46,  60 | V: -18,  70
ROBOT  16 | P:  19,  47 | V: -96,  54
ROBOT  17 | P:  79,  83 | V:  21, -26
ROBOT  18 | P:  77,  59 | V:  82, -86
ROBOT  19 | P:  27,  40 | V: -51,  24
ROBOT  20 | P:  84,  68 | V: -88, -72
ROBOT  21 | P:  59,  60 | V: -22,  18
ROBOT  22 | P:  66,  67 | V: -88,  24
ROBOT  23 | P:  64, 101 | V: -67,  86
ROBOT  24 | P:  13,  44 | V: -53, -68
ROBOT  25 | P:  44,  53 | V: -80,  34
ROBOT  26 | P:  31,  71 | V:  27, -25
ROBOT  27 | P:  98,  71 | V:  90,  78
ROBOT  28 | P:  25,  60 | V: -19, -47
ROBOT  29 | P:  64,  59 | V: -56, -16
ROBOT  30 | P:  67,  23 | V: -63,  72
ROBOT  31 | P:  85,  36 | V: -99,  -5
ROBOT  32 | P:  89,  64 | V: -81, -13
ROBOT  33 | P:  71,  33 | V:  -7, -18
ROBOT  34 | P:  30,  75 | V:  27,  74
ROBOT  35 | P:  51,  86 | V:  42,  50
ROBOT  36 | P:  35,   3 | V: -41,  17
ROBOT  37 | P:  67,   7 | V:  52,  44
ROBOT  38 | P:  71,   6 | V: -40,  21
ROBOT  39 | P:  49,  51 | V: -18, -32
ROBOT  40 | P:  77,  22 | V: -95,  86
ROBOT  41 | P:  72,  16 | V: -49,  63
ROBOT  42 | P:  96,  11 | V: -38,   7
ROBOT  43 | P:  26,  44 | V:  82,  -4
ROBOT  44 | P:  36,   5 | V:  42,  24
ROBOT  45 | P:  20,  13 | V:  45,  30
ROBOT  46 | P:  47,  23 | V:   8, -87
ROBOT  47 | P:  24,  99 | V:  13, -77
ROBOT  48 | P:   2,  66 | V:  58,  70
ROBOT  49 | P:  61,  86 | V:  99,  81
ROBOT  50 | P:  42,  67 | V:  20,  80
ROBOT  51 | P:  69,  80 | V:   1, -15
ROBOT  52 | P:   1,  10 | V:  85, -55
ROBOT  53 | P:  68,  95 | V: -16,  16
ROBOT  54 | P:  87,  16 | V:   2, -17
ROBOT  55 | P:  71,  27 | V: -73,  14
ROBOT  56 | P:  36,  57 | V: -82,  83
ROBOT  57 | P:   0,   6 | V:  21,  68
ROBOT  58 | P:  41,  67 | V: -41, -99
ROBOT  59 | P:  52,  60 | V: -52, -47
ROBOT  60 | P:  11,  32 | V: -93,  34
ROBOT  61 | P:  31,  27 | V:  64,  53
ROBOT  62 | P:  52,  84 | V: -73,  36
ROBOT  63 | P:   2,  85 | V: -62,  46
ROBOT  64 | P:  40,  54 | V: -97, -61
ROBOT  65 | P:  59,  58 | V: -22, -70
ROBOT  66 | P:  64,  23 | V: -87, -15
ROBOT  67 | P:  42,  34 | V: -36, -44
ROBOT  68 | P:  43,  42 | V:  37,  82
ROBOT  69 | P:  40,  75 | V: -13,  98
ROBOT  70 | P:  65,  18 | V:  38, -17
ROBOT  71 | P:  53,  51 | V: -17, -70
ROBOT  72 | P:  62,   5 | V: -91,   7
ROBOT  73 | P:  75,  28 | V: -19, -43
ROBOT  74 | P:  87, 101 | V: -16,  -2
ROBOT  75 | P:  99,  56 | V:  58,  84
ROBOT  76 | P:  69, 101 | V:  89, -77
ROBOT  77 | P:   5,  12 | V:  91, -97
ROBOT  78 | P:  34,  35 | V: -14,  62
ROBOT  79 | P:  52,  87 | V:  85, -33
ROBOT  80 | P:  18,  13 | V:  86, -40
ROBOT  81 | P:  51,  37 | V:  55,  61
ROBOT  82 | P:  57,  94 | V: -13, -44
ROBOT  83 | P:  87, 100 | V:  -3, -13
ROBOT  84 | P:  22,   2 | V:  25,  38
ROBOT  85 | P:   8,  97 | V: -43,  30
ROBOT  86 | P:  55,  27 | V:  14, -59
ROBOT  87 | P:  33,  13 | V:  68, -32
ROBOT  88 | P:  97,  55 | V: -18, -14
ROBOT  89 | P:  33,  60 | V:  45,  60
ROBOT  90 | P:  88,  29 | V: -99, -31
ROBOT  91 | P:  84,  93 | V:  66,  66
ROBOT  92 | P:  28,  83 | V:  31,  27
ROBOT  93 | P:  32,  52 | V: -69, -14
ROBOT  94 | P: 100,  93 | V:  80,  92
ROBOT  95 | P:  72,  87 | V:  44, -32
ROBOT  96 | P:  74,  61 | V:  11, -52
ROBOT  97 | P:  39,  67 | V: -14,  37
ROBOT  98 | P:  67,  92 | V: -17, -91
ROBOT  99 | P:  26,  26 | V:  38, -55
ROBOT 100 | P:  50,  15 | V:  19,  36
ROBOT 101 | P:  52,  57 | V:  46,  50
ROBOT 102 | P:  78,  19 | V:  48, -78
ROBOT 103 | P:  56,  42 | V: -68,  15
ROBOT 104 | P:  43,  17 | V:  14,  48
ROBOT 105 | P:   5,  17 | V: -94,  95
ROBOT 106 | P:  56,  13 | V: -49,   7
ROBOT 107 | P:  41,  66 | V:  92,  -1
ROBOT 108 | P:   9,  82 | V:  44, -10
ROBOT 109 | P:  92,  33 | V: -16,  66
ROBOT 110 | P:  55,  92 | V: -45,  50
ROBOT 111 | P:  72,  76 | V: -68, -85
ROBOT 112 | P:  40,  69 | V:   4, -85
ROBOT 113 | P:  29,  84 | V:  54,   8
ROBOT 114 | P:  53,  42 | V: -27,  -4
ROBOT 115 | P:  32,  80 | V: -44,  66
ROBOT 116 | P:  87,   3 | V:  53, -86
ROBOT 117 | P:   0,  48 | V: -24,  14
ROBOT 118 | P:  76,  84 | V:  25,  55
ROBOT 119 | P:  27,  17 | V: -14,  72
ROBOT 120 | P:  38,  68 | V: -82,  54
ROBOT 121 | P:  60,  91 | V:  47,  12
ROBOT 122 | P:  74,  17 | V: -90, -73
ROBOT 123 | P:  87,  79 | V:  75,  97
ROBOT 124 | P:  73,  70 | V: -33,  76
ROBOT 125 | P:  21,  83 | V:  66,  17
ROBOT 126 | P:  14,  29 | V:  12,  29
ROBOT 127 | P:  61,  38 | V: -40,  15
ROBOT 128 | P:   0,  59 | V: -86,   3
ROBOT 129 | P:  27,  19 | V:  27, -13
ROBOT 130 | P:  14,  37 | V:   4,  14
ROBOT 131 | P:  97,  17 | V:   2, -59
ROBOT 132 | P:  66,  80 | V: -99,  85
ROBOT 133 | P:   1,  28 | V:  49,  95
ROBOT 134 | P:  28,  99 | V:   4,   7
ROBOT 135 | P:  81,  34 | V:  11,   1
ROBOT 136 | P:   8,  63 | V:  67,  33
ROBOT 137 | P:  77,  20 | V: -79, -34
ROBOT 138 | P:  76,  92 | V:  66, -40
ROBOT 139 | P:   1,  54 | V:   3, -56
ROBOT 140 | P:  15,  66 | V:  73, -21
ROBOT 141 | P:  86,  45 | V:  33, -95
ROBOT 142 | P:  94,  35 | V:  59, -49
ROBOT 143 | P:  22,   9 | V: -10,  -3
ROBOT 144 | P:  34,  69 | V:  18,  14
ROBOT 145 | P:  99,  45 | V:  12,  89
ROBOT 146 | P:  86,  34 | V:  94,  94
ROBOT 147 | P:  87,  16 | V:  91,  70
ROBOT 148 | P:  55,  24 | V: -48, -21
ROBOT 149 | P:  75,  44 | V: -35,  66
ROBOT 150 | P:  85,  77 | V:  66, -80
ROBOT 151 | P:  30,  72 | V:  60,  98
ROBOT 152 | P:   3,  30 | V: -86, -18
ROBOT 153 | P:  24,  60 | V: -61, -10
ROBOT 154 | P:  34,  88 | V:  41, -20
ROBOT 155 | P:   0,  54 | V: -66,  28
ROBOT 156 | P:  85,  69 | V:  69,  -5
ROBOT 157 | P:  52,  24 | V: -60,   3
ROBOT 158 | P:  90,  95 | V:  22, -81
ROBOT 159 | P:   9,  90 | V: -75,  59
ROBOT 160 | P:  78,  78 | V: -76, -90
ROBOT 161 | P:  66,  61 | V: -95,  32
ROBOT 162 | P:  24,  70 | V: -56, -71
ROBOT 163 | P:  89,  48 | V: -80, -98
ROBOT 164 | P:  74,   7 | V: -61,  77
ROBOT 165 | P:  51,  66 | V: -50,  -1
ROBOT 166 | P:  90,  37 | V: -58,  20
ROBOT 167 | P:  46,  49 | V:   5,  98
ROBOT 168 | P:  95,   0 | V:  57, -58
ROBOT 169 | P:  44,   6 | V:  79, -31
ROBOT 170 | P:  41,  53 | V: -45,  -2
ROBOT 171 | P:   9,  23 | V:  -6, -27
ROBOT 172 | P:  35,  69 | V: -92, -99
ROBOT 173 | P:  59,  39 | V: -30, -76
ROBOT 174 | P:  23,  36 | V: -44, -82
ROBOT 175 | P:  61,  39 | V: -39, -68
ROBOT 176 | P:   3,   3 | V: -51,  40
ROBOT 177 | P:  23,  79 | V: -19, -11
ROBOT 178 | P:  49,  83 | V:  47,  40
ROBOT 179 | P:  84,  64 | V: -39,  56
ROBOT 180 | P:  57,  91 | V:  19,  17
ROBOT 181 | P:  60,  43 | V: -73,  73
ROBOT 182 | P:  54,  16 | V:  51,  72
ROBOT 183 | P:  54,  10 | V: -92, -99
ROBOT 184 | P:  48,  62 | V:  42,  84
ROBOT 185 | P:  45,  42 | V:  42, -18
ROBOT 186 | P:  72,  99 | V:  86,  48
ROBOT 187 | P:  39,  76 | V:  -9, -57
ROBOT 188 | P:  83,  61 | V: -85,  65
ROBOT 189 | P:  67,  80 | V:  98, -90
ROBOT 190 | P:  28,  27 | V: -70, -37
ROBOT 191 | P:  68,   9 | V: -40,  34
ROBOT 192 | P:  39,   5 | V:  78, -40
ROBOT 193 | P:  10,  90 | V:  43, -86
ROBOT 194 | P:  49,  29 | V:  -8,  39
ROBOT 195 | P:  79,  54 | V:  -8, -42
ROBOT 196 | P:  79,  71 | V: -90,  69
ROBOT 197 | P: 100,  50 | V:  35,  28
ROBOT 198 | P:  48,  84 | V:  14, -85
ROBOT 199 | P:  58,  12 | V:  98, -26
ROBOT 200 | P:  48,  26 | V:  35,  58
ROBOT 201 | P:  40,  11 | V:  78, -50
ROBOT 202 | P:  82,  51 | V:  71, -14
ROBOT 203 | P:  52,   4 | V:  -1, -77
ROBOT 204 | P:  47, 102 | V:  14, -68
